Name,Team,Position,GP,MPG,FT%,2P%,3P%,TS%,PPG,RPG,APG,SPG,BPG,TOV,ORTG,DRTG
Jordan Goodwin,PHO,G,48,21.8,0.711,0.466,0.356,0.514,8.8,4.9,2.3,1.5,0.2,1.1,114.2,107.7
Khaman Maluach,PHO,C,22,4.3,0.9,0.533,0,0.512,1.1,0.9,0.1,0,0.4,0.5,87.9,99.1
Julian Phillips,CHI,F,35,9.5,0.818,0.538,0.327,0.533,2.8,1.3,0.2,0.5,0.2,0.2,113.9,111.6
Jase Richardson,ORL,G,35,11.7,0.727,0.56,0.373,0.584,5.3,1.4,1.2,0.2,0.1,0.6,116.1,112.1
Jacob Toppin,ATL,F,5,3.4,0,0.667,0,0.667,1.6,0.4,0.2,0,0.2,0,0,0
Caleb Houstan,ATL,G,10,4.9,1,0.333,0.5,0.705,2.3,0.5,0.2,0.1,0.1,0.4,118.1,111.7
Mason Plumlee,CHA,F-C,14,8.9,0.667,0.75,0,0.752,1.9,2.9,1.1,0.4,0,0.6,128.4,106.1
James Wiseman,IND,C,4,14.6,0.5,0.6,0,0.597,3.3,2,0.8,0,0.3,1.3,99,107.2
RayJ Dennis,IND,G,13,12.9,0.889,0.294,0.316,0.421,4.9,1.6,2,0.2,0.3,1.1,90.8,113.7
Isaiah Livers,PHO,F,28,10.4,0.7,0.588,0.343,0.559,2.3,2,0.7,0.4,0.3,0.4,116.2,108.2
Jalen Pickett,DEN,G,36,18.3,0.909,0.477,0.376,0.537,5.7,2.8,2.8,0.4,0.1,0.8,115.3,116.2
Julian Strawther,DEN,G,28,12,0.8,0.524,0.271,0.539,5,1.8,1,0.4,0.1,0.4,112,112.4
Zeke Nnaji,DEN,F-C,38,13.1,0.825,0.598,0.275,0.587,4.3,2.8,0.6,0.3,0.5,0.6,117.4,109.2
DaRon Holmes II,DEN,F,14,12.5,0.75,0.556,0.412,0.623,4.1,1.7,1.1,0,0.3,0.4,127,113.7
Mark Sears,MIL,G,7,3.7,0.75,0.4,0.5,0.666,3.1,0.3,0.3,0,0,0.6,0,0
De'Andre Hunter,CLE,F-G,43,26.2,0.869,0.535,0.308,0.553,14,4.2,2.1,0.7,0.2,1.7,108.9,109.3
Liam McNeeley,CHA,F,28,12.2,0.806,0.4,0.379,0.566,4.1,2.1,0.8,0.2,0.1,0.4,119.4,108.5
Pat Connaughton,CHA,G,22,7.1,0.615,0.611,0.407,0.621,2.9,1.4,0.6,0.2,0,0.1,134.7,114.8
Quenton Jackson,IND,G,24,15.3,0.763,0.531,0.38,0.599,7.8,1.8,1.8,0.7,0.2,1.1,114.5,110.9
Collin Murray-Boyles,TOR,F,40,22,0.644,0.577,0.341,0.582,7.7,5.1,2.1,0.9,0.8,1.2,120.9,104.6
Miles Kelly,DAL,G,11,8.5,0,0.667,0.292,0.483,2.6,1.5,0.6,0.3,0,0.4,100.2,106.1
Bogdan Bogdanovic,LAC,G,16,22.5,0.842,0.444,0.333,0.511,8,2.9,2.7,0.5,0.1,1.2,105.7,109.7
Chris Manon,LAL,G,4,3.4,0,0,0,0,0,0.8,0,0.3,0.5,0,0,0
Devin Carter,SAC,G,15,9,1,0.4,0.273,0.473,3.3,1.5,1.1,0.5,0.1,0.7,97.8,113.3
Luke Travers,CLE,F,12,8.6,1,0.4,0.063,0.35,2.3,2,0.8,0.6,0.3,0.3,95.8,110.7
Thomas Bryant,CLE,C-F,35,9.9,0.813,0.678,0.365,0.643,5,2.6,0.6,0.2,0.4,0.4,127.9,105.1
Colby Jones,DET,G,1,6.8,0,1,0,0.333,2,4,2,0,0,0,105.4,85.5
Bobi Klintman,DET,F,8,7.5,0,0.364,0.273,0.364,2.1,2.1,0.5,0.3,0,0.6,79.6,94.8
Tolu Smith,DET,F,5,10.9,0.8,0.467,0,0.602,5.2,5.6,0.8,0.4,1,0.8,128.6,94.3
Noah Penda,ORL,G-F,34,14,0.622,0.453,0.387,0.527,5.1,3.9,1.2,0.6,0.4,0.8,111.9,106.7
Eric Gordon,PHI,G,6,12.3,0.5,0.571,0.571,0.754,5.5,0.3,0.5,0.7,0.2,0.5,130.4,117.4
Hunter Sallis,PHI,G,7,3.7,0.5,0.6,0,0.595,1,0.1,0.6,0,0.1,0.7,0,0
Tyson Etienne,BRO,G,8,4.3,0,0,0.308,0.4,1.5,0,0.1,0,0,0.1,81.3,111.9
E.J. Liddell,BRO,F,10,4.9,0.667,0.667,0.364,0.6,2.2,1.1,0,0.1,0,0,127.5,113
JD Davison,HOU,G,21,6.9,0.556,0.444,0.286,0.454,1.9,0.7,1,0.2,0.2,0.2,110.4,109.9
Aaron Holiday,HOU,G,33,13.5,0.848,0.426,0.387,0.57,5.8,0.8,0.9,0.5,0.1,0.6,117.8,108.4
Jae'Sean Tate,HOU,F,30,8.2,0.8,0.596,0.333,0.577,2.7,1.5,0.5,0.2,0.1,0.3,126.3,103.4
Jeff Green,HOU,F,16,4.3,0,0.5,0.444,0.615,2,0.5,0.1,0,0.1,0.1,131.1,111.8
Ron Harper Jr.,BOS,G-F,7,5,0,0.5,0.25,0.406,1.9,0.9,0.6,0.1,0.4,0.1,105.1,110.7
DeAndre Jordan,NOR,C,2,11.7,0.5,0.8,0,0.765,4.5,5,0,0,0,0.5,144.5,116.7
Micah Peavy,NOR,G-F,43,15.7,0.733,0.473,0.25,0.447,4.6,2.1,1.1,0.7,0.1,0.3,105.6,113.4
Karlo Matkovic,NOR,F-C,39,12.9,0.533,0.709,0.413,0.675,4.8,3.1,0.7,0.4,0.8,0.5,127.9,108.7
Bryce McGowens,NOR,G,29,19.4,0.761,0.5,0.436,0.606,7.6,2,1.3,0.6,0.1,0.5,124.5,114.9
Ja'Kobe Walter,TOR,G,41,17.9,0.8,0.577,0.346,0.572,6.2,2.1,0.9,0.9,0.1,0.5,116.5,106.2
Hunter Tyson,DEN,F,21,7.7,0.846,0.368,0.212,0.398,2.2,1.7,0.8,0.1,0,0.2,95.7,111.4
