Name,Team,Position,GP,MPG,FT%,2P%,3P%,TS%,PPG,RPG,APG,SPG,BPG,TOV,ORTG,DRTG
Jabari Smith Jr.,HOU,F,47,34.9,0.764,0.512,0.354,0.55,15.1,6.9,1.9,0.8,1,1.3,118.5,108.6
Alperen Sengun,HOU,C,41,34.1,0.687,0.529,0.293,0.555,21.4,9.4,6.3,1.4,1,3.3,117.2,104.3
Steven Adams,HOU,C,32,22.8,0.58,0.504,0,0.535,5.8,8.6,1.5,0.7,0.6,1.1,124.9,107.4
Kevin Durant,HOU,F,45,36.8,0.886,0.56,0.405,0.631,26.2,5.4,4.6,0.7,0.9,3,124.9,111.4
Amen Thompson,HOU,G-F,48,37.5,0.791,0.549,0.193,0.567,18.1,7.8,5.5,1.5,0.6,2.5,122.4,110.3
Tari Eason,HOU,F,27,24.5,0.633,0.448,0.479,0.578,12,6.3,1.4,1.3,0.6,1.6,116.4,104.7
Reed Sheppard,HOU,G,48,24.6,0.778,0.481,0.384,0.549,12.6,2.5,3,1.4,0.6,1.2,118.5,108.3
Clint Capela,HOU,C,42,11.6,0.556,0.53,0,0.541,3.8,4.6,0.6,0.5,0.8,0.4,127.2,106.5
Josh Okogie,HOU,G,48,20.1,0.627,0.495,0.393,0.563,5.5,3,1,0.9,0.3,0.7,120,109
Luguentz Dort,OKC,G,41,27.8,0.844,0.5,0.36,0.547,8.9,4,1.2,0.9,0.5,0.7,111.7,101.5
Chet Holmgren,OKC,C-F,45,29.2,0.772,0.661,0.358,0.655,17.7,8.6,1.6,0.5,2,1.6,125.6,100.2
Isaiah Hartenstein,OKC,C-F,27,26.2,0.676,0.654,0,0.655,11,10,3.1,1,0.7,2.1,128.2,95.4
Cason Wallace,OKC,G,48,26.3,0.737,0.489,0.367,0.539,7.8,3,2,2.1,0.2,0.9,112,103.3
Shai Gilgeous-Alexander,OKC,G,49,33.3,0.892,0.603,0.39,0.67,31.8,4.4,6.4,1.3,0.8,2.1,134.5,105.8
Jaylin Williams,OKC,F,36,18.7,0.717,0.5,0.302,0.502,5.6,4.9,2.5,0.6,0.6,1,107.6,97.3
Aaron Wiggins,OKC,G,36,23.6,0.744,0.529,0.387,0.574,10.5,3.5,1.8,0.9,0.6,1.3,108.9,105.4
Alex Caruso,OKC,G,33,18.2,0.833,0.612,0.295,0.54,6.1,2.8,2.2,1.4,0.4,0.8,113.3,103.1
Brooks Barnhizer,OKC,G,27,7.2,0.667,0.522,0.167,0.49,1.1,1.6,0.3,0.2,0.1,0.2,110.1,102.1
Ajay Mitchell,OKC,G,43,26.2,0.87,0.545,0.35,0.59,14.1,3.5,3.7,1.4,0.3,1.6,117.8,103.1
Chris Youngblood,OKC,G,31,5,0.9,0.429,0.319,0.514,1.9,0.8,0.3,0.1,0,0.1,115.9,99.8
Jimmy Butler,GOL,F,38,31.1,0.864,0.553,0.376,0.647,20,5.6,4.9,1.4,0.2,1.6,137.2,114.3
Jonathan Kuminga,GOL,F,20,23.8,0.742,0.504,0.321,0.543,12.1,5.9,2.5,0.4,0.3,2.3,103.6,110
Draymond Green,GOL,F,42,26.6,0.7,0.563,0.319,0.53,8.4,5.7,5.2,0.9,0.7,2.7,101.9,103.9
Brandin Podziemski,GOL,G,51,26.8,0.762,0.514,0.385,0.578,12.1,4.6,3.6,1.1,0.2,1.5,115.6,109.6
Stephen Curry,GOL,G,39,31.3,0.931,0.584,0.391,0.636,27.2,3.5,4.8,1.1,0.4,2.8,119.7,112.6
Buddy Hield,GOL,G,44,17.5,0.794,0.6,0.344,0.562,8,2.5,1.5,0.8,0.2,1,109,110.4
Gary Payton II,GOL,G,46,12.6,0.571,0.641,0.28,0.582,4.7,3,1.5,0.5,0.3,0.9,115.1,103.3
Al Horford,GOL,C-F,30,20,1,0.557,0.357,0.559,7.3,4.9,2.3,0.8,1.1,0.9,116.2,108.5
Gui Santos,GOL,F,40,13.1,0.643,0.702,0.381,0.633,4.9,2.6,1.2,0.6,0.3,0.8,118,105.9
Will Richard,GOL,G,46,19.2,0.814,0.67,0.354,0.609,6.8,2.5,1.4,1.2,0.1,0.8,119.7,108.3
Quinten Post,GOL,C,51,17.8,0.833,0.602,0.35,0.566,8,4,1.4,0.5,0.5,0.8,114.2,105.7
Austin Reaves,LAL,G,24,34.7,0.87,0.623,0.36,0.663,26.1,5.2,6,1,0.2,3.2,126.6,113.9
Rui Hachimura,LAL,F,39,29.6,0.723,0.558,0.431,0.61,11.9,3.5,0.8,0.5,0.3,0.8,118.8,117
Deandre Ayton,LAL,C,44,28.4,0.662,0.674,0,0.68,13.5,8.5,0.9,0.7,1,1.4,129.3,110.2
Gabe Vincent,LAL,G,29,19.3,0.909,0.259,0.369,0.512,4.8,0.9,1.3,0.5,0,0.4,110.1,113.8
Luka Doncic,LAL,F-G,41,36,0.779,0.588,0.348,0.616,33.4,7.9,8.7,1.5,0.5,4.2,120.9,110.9
Marcus Smart,LAL,G,40,28.3,0.857,0.533,0.323,0.554,9.6,3,2.8,1.3,0.3,1.8,108,111.3
Jake LaRavia,LAL,F,49,27.2,0.737,0.587,0.329,0.574,9.4,4.2,2,1.4,0.5,1.1,118.6,111.8
Jaxson Hayes,LAL,C-F,41,17.4,0.649,0.774,1,0.771,6.4,3.8,0.8,0.4,0.6,0.5,152.3,108.8
Jarred Vanderbilt,LAL,F,40,19.4,0.634,0.591,0.299,0.55,4.9,5,1.4,0.9,0.3,1,115.4,108.6
Evan Mobley,CLE,C,42,33.4,0.635,0.593,0.304,0.576,17.9,8.8,4,0.9,2,2.1,117.7,109.5
Jaylon Tyson,CLE,G-F,46,27.9,0.767,0.548,0.473,0.634,14,5.5,2.4,0.9,0.4,1.5,123.8,109.3
Jarrett Allen,CLE,C,39,27.1,0.755,0.617,0.111,0.647,14,8,2,1,0.9,1.4,128.6,109.3
Sam Merrill,CLE,G,27,25.6,0.868,0.52,0.459,0.675,13.6,2.3,2.4,0.6,0.1,0.9,132.3,110.6
Donovan Mitchell,CLE,G,47,33.9,0.842,0.573,0.382,0.616,28.8,4.6,5.8,1.5,0.2,3.1,119.7,111.7
Dean Wade,CLE,F-C,42,22.9,0.75,0.635,0.34,0.566,5.8,4.2,1.5,0.8,0.4,0.3,127.5,111.3
Lonzo Ball,CLE,G,35,20.8,0.667,0.448,0.272,0.432,4.6,4,3.9,1.3,0.3,1.5,100.1,110.2
Craig Porter,CLE,G,45,17.8,0.552,0.504,0.385,0.535,4.8,3.5,3.2,1,0.6,0.9,123.4,111.5
Larry Nance Jr.,CLE,F-C,23,13.4,0.6,0.429,0.295,0.442,3.4,2.7,1,0.7,0.2,0.5,103.4,102.7
Tyrese Proctor,CLE,G,37,10.6,0.852,0.443,0.354,0.529,4.9,1.1,1.4,0.4,0,0.6,108.5,108.7
O.G. Anunoby,NYK,F-G,40,32.6,0.797,0.579,0.367,0.605,16.5,5.4,2.3,1.8,0.7,2.1,116.7,108.8
Karl-Anthony Towns,NYK,C-F,47,31.5,0.851,0.51,0.357,0.591,19.8,11.9,2.9,0.9,0.6,2.5,120.7,101.7
Ariel Hukporti,NYK,C,34,8.9,0.696,0.59,0.333,0.624,1.9,2.9,0.5,0.1,0.6,0.6,120.3,99.1
Mikal Bridges,NYK,G-F,50,34.3,0.814,0.593,0.394,0.605,15.9,4.2,4.2,1.5,0.8,1,129.8,112.8
Jalen Brunson,NYK,G,45,34.3,0.853,0.526,0.38,0.59,27.1,3.2,6,0.7,0.1,2.2,123.6,113.1
Guerschon Yabusele,NYK,F,41,8.9,0.667,0.564,0.294,0.499,2.7,2.1,0.4,0.1,0.1,0.4,107.5,107.1
Miles McBride,NYK,G,35,28,0.814,0.462,0.42,0.592,12.9,2.6,2.8,0.9,0.2,0.8,126,113.2
Trey Jemison,NYK,C,8,6,1,0.6,0,0.643,0.9,1.8,0.3,0,0.3,0.5,110,103.5
Landry Shamet,NYK,G,25,20.5,0.75,0.488,0.446,0.646,9.5,1.8,1.2,0.5,0.2,0.4,133.9,113.8
Jordan Clarkson,NYK,G,46,19.3,0.781,0.513,0.33,0.531,9.4,1.8,1.3,0.5,0.1,1,108.3,110.2
Tyler Kolek,NYK,G,43,13.7,0.688,0.479,0.356,0.512,5.1,1.9,3,0.4,0.1,1.1,110.4,107.3
Terance Mann,BRO,G-F,43,25.4,0.823,0.529,0.343,0.561,7.6,3.3,3.4,0.7,0.2,1.1,120.2,112.8
Michael Porter Jr.,BRO,F,39,33.1,0.848,0.573,0.389,0.614,25.5,7.3,3.2,1.1,0.3,2.5,116.4,113.8
Nic Claxton,BRO,C,47,29.3,0.62,0.59,0.167,0.599,12.2,7.3,4,0.7,1.3,1.4,127,112.8
Cam Thomas,BRO,G,24,24.2,0.841,0.445,0.325,0.527,15.6,1.8,3.1,0.2,0.1,2,104.8,120.2
Ben Saraf,BRO,G,18,17.4,0.762,0.386,0.256,0.431,4.6,1.5,2.6,0.8,0.2,1.8,85,116
Ziaire Williams,BRO,F,35,22.9,0.88,0.646,0.311,0.575,9.7,2.5,0.8,1.1,0.5,1,110.5,112.1
Egor Demin,BRO,G,43,24.7,0.857,0.421,0.395,0.567,10.5,3.1,3.3,0.8,0.3,1.8,108,114.9
Day'Ron Sharpe,BRO,C,47,18.4,0.68,0.667,0.226,0.652,8.2,6.6,2.3,1.1,0.4,1.6,125.8,104.6
Noah Clowney,BRO,F-C,44,28.6,0.802,0.518,0.315,0.547,13,4.3,1.9,0.8,0.8,1.8,106.4,112.5
Tyrese Martin,BRO,F,37,18.8,0.731,0.476,0.336,0.507,7.3,2.9,1.9,0.6,0.1,0.9,106.2,118.4
Jalen Wilson,BRO,F,33,14.5,0.75,0.411,0.362,0.534,5.5,1.5,0.6,0.3,0.1,0.5,106.2,114.3
Drake Powell,BRO,G-F,38,18.9,0.913,0.578,0.308,0.571,6.1,1.6,1.6,0.6,0.1,1,109.2,116.2
Nolan Traore,BRO,G,27,19.5,0.793,0.385,0.311,0.456,6,1.4,2.9,0.4,0.4,1.4,94.8,115.5
Kon Knueppel,CHA,G-F,50,32,0.892,0.563,0.425,0.64,18.7,5.5,3.6,0.7,0.2,2.2,123.8,112.1
Miles Bridges,CHA,F,50,32.4,0.836,0.541,0.33,0.563,18.3,6.1,3.5,0.5,0.5,1.4,119.4,112.9
Ryan Kalkbrenner,CHA,C,39,23.4,0.671,0.78,0,0.77,8.6,6.1,0.7,0.5,1.5,1.1,140.7,110.7
Brandon Miller,CHA,F,34,30.3,0.879,0.491,0.366,0.564,20.6,4.7,3.4,0.9,0.9,2.5,111.9,109.7
LaMelo Ball,CHA,G,41,27.4,0.888,0.459,0.363,0.539,19.1,4.9,7.5,1.2,0.2,3.1,113.3,107.6
Collin Sexton,CHA,G,42,22.3,0.877,0.539,0.393,0.619,14.2,1.9,3.7,0.9,0.2,2.1,119.4,111.6
Sion James,CHA,G,51,24.2,0.855,0.414,0.345,0.536,5.7,3.5,1.9,0.5,0.3,0.9,113.9,111.8
Moussa Diabate,CHA,F,47,25.1,0.656,0.639,1,0.662,8.4,8.5,1.6,0.7,1,0.9,141.8,106.3
Tidjane Salaun,CHA,F,31,16,0.7,0.592,0.443,0.642,6.4,4.4,0.8,0.4,0.2,0.8,121.4,106.3
Tre Mann,CHA,G,30,16.3,0.842,0.426,0.328,0.478,7.5,2.3,2.2,0.5,0.1,1.3,99.9,108.3
Andrew Wiggins,MIA,F,47,31.2,0.792,0.517,0.384,0.565,15.6,4.9,2.9,1.2,1,1.8,112.3,110.2
Nikola Jovic,MIA,F,40,18.6,0.705,0.471,0.285,0.493,8.2,3.7,2.4,0.6,0.4,1.6,97.4,107.8
Bam Adebayo,MIA,C-F,44,31.1,0.794,0.49,0.346,0.548,18.1,9.9,2.8,1,0.7,1.8,112.1,108.4
Norman Powell,MIA,G,43,30.7,0.844,0.536,0.392,0.612,23,3.7,2.6,1.2,0.2,2,116.2,110.2
Davion Mitchell,MIA,G,42,28.9,0.636,0.513,0.405,0.559,9,2.5,7.3,1.2,0.1,1.6,119.7,108.8
Jaime Jaquez Jr.,MIA,G,47,28.8,0.75,0.561,0.287,0.573,15.5,5.4,4.7,0.8,0.2,2.2,113.3,109.9
Kel'el Ware,MIA,C,48,22.5,0.794,0.601,0.409,0.625,11.3,9.2,0.6,0.8,1.1,0.9,127.6,105.9
Simone Fontecchio,MIA,F,49,17.3,0.803,0.485,0.368,0.563,8.7,3.3,1.6,0.4,0.2,0.8,114.1,108
Dru Smith,MIA,G,51,17.4,0.839,0.484,0.313,0.537,6.4,2.6,2.8,1.5,0.3,0.9,117,105.6
Pelle Larsson,MIA,G,44,24.2,0.767,0.594,0.333,0.6,10.5,3.3,3.3,0.7,0.2,1.1,122.8,110.5
Franz Wagner,ORL,F,26,32.8,0.826,0.521,0.368,0.593,22.2,6.1,3.6,1.1,0.3,1.8,120.9,111.5
Paolo Banchero,ORL,F,39,34.4,0.766,0.507,0.301,0.562,21.6,8.6,4.8,0.7,0.6,2.8,112.1,111.1
Wendell Carter Jr.,ORL,C-F,47,29.8,0.781,0.606,0.346,0.612,12.1,7.3,2.1,0.7,0.7,1.2,125.5,105.6
Desmond Bane,ORL,G,49,34,0.936,0.515,0.362,0.575,19.2,4.3,4.3,0.8,0.5,2.1,115.7,111
Jalen Suggs,ORL,G,29,26,0.861,0.582,0.316,0.569,14.3,3.8,5,1.7,0.5,2.6,109.8,105.3
Tyus Jones,ORL,G,48,15.7,1,0.429,0.294,0.448,3,1.1,2.4,0.7,0.1,0.3,113.8,117
Jonathan Isaac,ORL,F,41,10.4,0.625,0.586,0.206,0.526,2.9,2.6,0.4,0.4,0.6,0.4,112.8,109
Anthony Black,ORL,G,49,31.1,0.742,0.525,0.345,0.559,15.8,4.1,4,1.3,0.7,2.3,109.2,109.7
Goga Bitadze,ORL,C-F,41,16.2,0.731,0.715,0.2,0.706,5.9,5.1,1.2,0.7,1.2,0.5,147.6,102.6
Tristan da Silva,ORL,F,44,22.7,0.842,0.494,0.371,0.546,8.9,3.3,1.2,0.9,0.2,0.9,108.3,113.3
Brandon Ingram,TOR,F,49,34.1,0.836,0.515,0.358,0.566,21.9,5.9,3.7,0.8,0.8,2.6,109.1,111.6
Scottie Barnes,TOR,F-G,50,34.5,0.816,0.551,0.306,0.574,19.3,8.3,5.5,1.3,1.6,2.7,115.4,106.7
Jakob Poeltl,TOR,C,21,25.3,0.596,0.693,0,0.691,9.7,7.7,2.1,0.8,0.5,1.6,128.4,101.9
RJ Barrett,TOR,F-G,28,29.4,0.705,0.571,0.333,0.577,18.8,5.2,3.6,0.8,0.2,1.6,115.4,108.9
Immanuel Quickley,TOR,G,48,32.5,0.805,0.513,0.37,0.572,16.8,4.5,6.1,1.3,0.1,1.7,118.9,110.6
Ochai Agbaji,TOR,G,42,15.5,0.862,0.571,0.185,0.495,4.3,2.3,0.7,0.4,0.3,0.5,106.6,106.5
Sandro Mamukelashvili,TOR,F-C,49,22.5,0.75,0.65,0.374,0.634,11.2,5.1,2,0.7,0.6,0.9,127,107.2
Gradey Dick,TOR,G-F,51,16.2,0.862,0.543,0.313,0.548,6.5,2.2,0.7,0.6,0.1,0.5,110.9,108.6
Jamal Shead,TOR,G,51,22.3,0.767,0.417,0.33,0.496,7,1.9,5.5,1,0.1,1.3,111.7,109
Jonathan Mogbo,TOR,F,21,6.6,0.4,0.5,0,0.497,1.4,1.8,0.5,0.1,0.2,0.3,108.8,106.4
Jamison Battle,TOR,F,36,8.5,0.667,0.657,0.449,0.671,3.3,1.4,0.4,0.1,0.1,0.4,118.5,108.5
Zaccharie Risacher,ATL,F,38,24.5,0.618,0.557,0.358,0.557,11,3.4,1.4,0.9,0.5,0.9,108.3,111.8
Jalen Johnson,ATL,F,47,35.6,0.775,0.554,0.362,0.592,23.2,10.5,8,1.3,0.5,3.5,116.4,110.5
Kristaps Porzingis,ATL,F-C,17,24.3,0.84,0.524,0.36,0.592,17.1,5.1,2.7,0.5,1.3,0.9,122.6,106.2
Dyson Daniels,ATL,G,50,33.8,0.619,0.557,0.127,0.519,11.4,6.5,6.3,1.9,0.4,2,114.7,112.5
Trae Young,ATL,G,10,28,0.863,0.5,0.305,0.577,19.3,1.5,8.9,1,0.1,2.6,120.1,115.4
Nickeil Alexander-Walker,ATL,G,50,33,0.875,0.501,0.38,0.582,20.3,3.5,3.5,1.1,0.6,2,111.6,115.1
Keaton Wallace,ATL,G,40,11.1,0.545,0.442,0.405,0.547,3.9,1.2,2,0.5,0.1,0.6,112.1,111.8
Luke Kennard,ATL,G,46,20.5,0.914,0.604,0.497,0.713,7.9,2.2,2.1,0.7,0.1,0.7,133.5,116.1
Onyeka Okongwu,ATL,F-C,47,32,0.781,0.57,0.367,0.59,16.3,7.9,3.3,1.2,1,2,115,106.9
Mouhamed Gueye,ATL,F,50,16.5,0.62,0.561,0.272,0.515,4.9,3.6,1,0.9,0.6,0.5,112.2,107.4
Kelly Oubre Jr.,PHI,F-G,28,32.2,0.73,0.58,0.377,0.598,14.2,4.6,1.5,1.1,0.6,1.3,116.6,110.9
Dominick Barlow,PHI,F,40,23.9,0.8,0.633,0.293,0.623,8.4,5.1,1.3,1,0.6,0.8,132.5,109.9
Joel Embiid,PHI,C-F,29,31,0.854,0.54,0.298,0.597,26.1,7.4,3.8,0.7,1.1,3,118.5,110.9
VJ Edgecombe,PHI,G,46,35.6,0.771,0.479,0.36,0.533,15.1,5.3,4.3,1.5,0.5,1.8,113.4,110.1
Tyrese Maxey,PHI,G,48,38.9,0.889,0.527,0.39,0.6,28.9,4.2,6.8,2,0.8,2.4,123.5,113.1
Quentin Grimes,PHI,G,46,30,0.861,0.563,0.344,0.591,13,3.8,3.7,1,0.4,1.9,116.7,112.9
Adem Bona,PHI,F,41,16.3,0.652,0.588,0.4,0.621,4.1,4,0.2,0.3,1.4,0.7,123.3,105.6
Jabari Walker,PHI,F,45,12.1,0.727,0.506,0.27,0.505,3.7,3.1,0.5,0.4,0.2,0.4,114.8,103.7
Justin Edwards,PHI,F,37,14.2,0.895,0.5,0.337,0.529,4.7,1.5,1.1,0.6,0.2,0.6,109.7,109
Andre Drummond,PHI,C,38,19.8,0.629,0.538,0.367,0.561,6.9,8.8,0.8,0.6,0.9,1,123.9,104
Jaylen Brown,BOS,G-F,46,34.4,0.775,0.53,0.363,0.576,29.5,7,4.8,1,0.4,3.6,114.1,108
Sam Hauser,BOS,F,49,23.9,0.917,0.529,0.395,0.59,9.2,3.8,1.4,0.6,0.3,0.6,124.6,112.3
Neemias Queta,BOS,C,47,25.1,0.657,0.646,0,0.651,10.1,8.1,1.5,0.9,1.3,1,135.8,102.4
Payton Pritchard,BOS,G,49,32.6,0.859,0.579,0.349,0.574,16.9,4.3,5.3,0.7,0.1,1.1,128.3,115.5
Derrick White,BOS,G,48,34.1,0.893,0.485,0.32,0.521,17.1,4.6,5.5,1.2,1.4,1.9,115.6,114.2
Xavier Tillman,BOS,F,13,8.4,0,0.688,0.214,0.517,2.4,1.9,0.4,0.5,0.2,0.4,110.9,107.8
Josh Minott,BOS,F,32,16.2,0.769,0.593,0.447,0.656,6,3.6,1,0.8,0.3,0.6,134.7,106.1
Anfernee Simons,BOS,G,49,24.5,0.889,0.502,0.395,0.579,14.2,2.4,2.4,0.6,0.1,1.1,119.3,113.7
Chris Boucher,BOS,F,9,10.5,0.75,0.6,0.133,0.392,2.3,2,0.3,0.6,0.8,0.1,94.4,94.6
Luka Garza,BOS,C,41,16.7,0.8,0.647,0.476,0.701,7.9,4.3,1.1,0.4,0.5,0.5,151.8,102.9
Ausar Thompson,DET,G-F,45,25.7,0.576,0.524,0.3,0.538,10.6,6,2.7,1.8,0.8,1.4,114.2,100.6
Tobias Harris,DET,F,34,27.7,0.879,0.52,0.353,0.571,13.5,4.6,2.5,0.9,0.2,1.1,119.9,108.1
Jalen Duren,DET,C,42,28.2,0.731,0.634,0,0.669,18,10.7,1.8,0.9,0.8,1.9,131.2,100.4
Duncan Robinson,DET,F,47,28.5,0.734,0.558,0.401,0.606,12,2.7,1.8,0.7,0.3,0.7,124.4,109.5
Cade Cunningham,DET,G,43,35.2,0.809,0.519,0.324,0.566,25.3,5.5,9.8,1.5,0.9,3.7,117.8,105.1
Isaiah Stewart,DET,F-C,45,23.4,0.75,0.631,0.324,0.617,10.2,5.4,1.2,0.3,1.8,1.1,122.5,101.6
Caris LeVert,DET,G,32,19.7,0.679,0.523,0.33,0.536,7.8,1.8,2.8,0.9,0.7,1.4,107.5,108.4
Ronald Holland II,DET,F,47,20.6,0.791,0.519,0.238,0.505,8.1,4.2,1.4,1.4,0.4,1.4,101.9,100.9
Paul Reed,DET,F,34,11.6,0.563,0.632,0.35,0.619,5.5,4.2,1.2,0.9,0.6,1,121,96.8
Javonte Green,DET,G,49,18.7,0.797,0.553,0.368,0.594,7.1,2.8,0.8,1.3,0.3,0.6,121,105.6
Isaac Okoro,CHI,F-G,43,25.7,0.761,0.581,0.341,0.578,8.7,2.7,1.5,0.6,0.5,0.6,119.7,113.7
Matas Buzelis,CHI,F,51,28.2,0.774,0.571,0.366,0.592,14.9,5.3,2,0.6,1.5,1.8,110.9,112.3
Nikola Vucevic,CHI,C,48,30.8,0.838,0.568,0.376,0.585,16.9,9,3.8,0.7,0.6,1.4,120.4,112.7
Tre Jones,CHI,G,38,26.9,0.848,0.609,0.328,0.648,12.4,3,5.8,1.3,0.2,1.4,134.2,116.4
Josh Giddey,CHI,G,34,32.1,0.775,0.511,0.366,0.575,18.6,8.6,8.8,0.9,0.3,3.6,114.8,113.7
Kevin Huerter,CHI,G-F,44,23.6,0.732,0.63,0.314,0.559,10.9,3.8,2.6,0.8,0.6,1.1,110.8,112.5
Ayo Dosunmu,CHI,G,45,26.4,0.857,0.556,0.451,0.636,15,3,3.6,0.8,0.3,1.4,124.4,116.2
Patrick Williams,CHI,F,47,18.7,0.702,0.377,0.382,0.502,6.7,3,1.2,0.6,0.3,1,98.9,114.2
Jalen Smith,CHI,F-C,42,20.1,0.725,0.603,0.386,0.61,10.1,6.9,1.3,0.4,0.8,1,121.8,108.3
Dalen Terry,CHI,F,34,11.1,0.529,0.464,0.413,0.539,3.5,1.9,1.3,0.6,0.3,0.6,109.2,111
Trey Murphy III,NOR,F,48,35.8,0.892,0.587,0.36,0.606,21.6,5.8,3.6,1.5,0.3,1.8,121.6,116.8
Zion Williamson,NOR,F,36,29.4,0.701,0.58,0,0.622,21.4,6.3,3.4,1,0.7,2.3,122.7,114.9
Yves Missi,NOR,C,44,19.1,0.559,0.543,0,0.551,5.6,5.7,1.2,0.3,1.4,0.8,124.8,113.8
Herbert Jones,NOR,F,29,28.5,0.806,0.476,0.32,0.504,9.3,3.6,2.5,1.6,0.5,1.2,106.1,111.5
Jordan Poole,NOR,G,28,25.4,0.876,0.425,0.336,0.533,14.5,1.8,3.1,0.7,0.3,1.9,106.2,116
Saddiq Bey,NOR,G-F,45,30.3,0.836,0.52,0.343,0.57,16.3,5.8,2.4,1,0,0.6,125.5,119.8
Hunter Dickinson,NOR,C,1,4.7,0,0.5,0,0.5,2,0,0,0,1,2,42.9,82.8
Jordan Hawkins,NOR,G,35,14.1,0.778,0.342,0.301,0.424,4.3,1.8,0.7,0.2,0.2,0.6,89.4,120.9
Jeremiah Fears,NOR,G,52,25.5,0.814,0.472,0.319,0.515,13.3,3.6,2.9,1.3,0.3,2.2,101,116
Derik Queen,NOR,C,51,25.9,0.794,0.516,0.217,0.551,12.3,7.4,4.3,1.1,0.9,2.5,109,108.4
Kentavious Caldwell-Pope,MEM,G,47,21,0.913,0.494,0.317,0.532,8.1,2.4,2.8,0.8,0.2,1.2,109.3,114.2
Jaren Jackson Jr.,MEM,F-C,45,30.7,0.797,0.531,0.359,0.574,19.2,5.8,1.9,1,1.5,2.2,108,104.8
Jock Landale,MEM,C,45,23.6,0.674,0.581,0.38,0.594,11.3,6.5,1.7,0.6,0.5,1,125.4,108.8
Jaylen Wells,MEM,F,48,26.9,0.778,0.487,0.328,0.53,11.9,3.5,1.7,0.9,0.1,1.1,108.2,111.5
Ja Morant,MEM,G,20,28.4,0.897,0.473,0.235,0.521,19.5,3.3,8.1,1,0.3,3.6,107.1,112.3
Olivier-Maxence Prosper,MEM,F,25,12,0.906,0.566,0.364,0.625,5,2.5,0.7,0.2,0.2,0.7,120.1,112.7
Santi Aldama,MEM,F-C,42,28,0.673,0.574,0.351,0.573,14,6.7,3,0.9,0.7,1.3,117.8,111.5
Javon Small,MEM,G,16,12.9,0.737,0.375,0.343,0.491,4.6,1.5,3.4,0.3,0.1,1.2,107.2,111.1
Cedric Coward,MEM,G,45,26.7,0.849,0.556,0.345,0.581,13.8,6.2,2.9,0.5,0.4,1.8,114.6,110.2
Cam Spencer,MEM,G,47,24.1,0.927,0.51,0.459,0.664,11.7,2.7,5.6,0.7,0.1,1.5,132.6,113.6
John Konchar,MEM,G,30,14.5,0.615,0.75,0.333,0.619,3.2,3.1,1.3,1,0.4,0.5,126.3,108.4
Khris Middleton,WAS,F,34,24.3,0.841,0.483,0.333,0.531,10.3,3.9,3.3,0.8,0.3,1.7,107.7,114.9
Kyshawn George,WAS,F,40,30.9,0.783,0.502,0.376,0.561,15.3,5.6,5,1.1,0.9,2.9,107.6,111.1
Alexandre Sarr,WAS,C,39,28.5,0.702,0.539,0.333,0.556,17.4,7.7,2.8,0.8,2.1,1.7,114,116.5
CJ McCollum,WAS,G,35,30.9,0.804,0.505,0.393,0.573,18.8,3.5,3.6,0.7,0.3,1.7,115,120.6
Bub Carrington,WAS,G,49,28.3,0.75,0.39,0.405,0.545,10.1,3.7,4.6,0.6,0.2,2.4,103.8,118.5
Marvin Bagley III,WAS,F,38,19.2,0.711,0.643,0.421,0.667,10.1,5.7,1.5,0.5,0.7,1.2,131.5,113.4
Tre Johnson,WAS,G,39,25.1,0.894,0.5,0.393,0.577,13,2.7,2.2,0.6,0.3,1.4,111.5,120.2
Cam Whitmore,WAS,F,21,16.9,0.742,0.54,0.286,0.528,9.2,2.8,0.7,0.7,0.4,0.9,105.1,118.6
Corey Kispert,WAS,F,19,19.5,0.765,0.674,0.395,0.649,9.2,2.3,1.7,0.4,0.2,0.7,126.8,121.8
Justin Champagnie,WAS,G-F,46,19.1,0.695,0.611,0.301,0.575,7.2,5.6,1.1,0.8,0.6,0.6,124.6,114.3
Will Riley,WAS,F,41,15.2,0.807,0.469,0.319,0.518,6.2,2.1,1.3,0.5,0.1,0.9,107.2,122
AJ Johnson,WAS,G,25,8.6,0.75,0.345,0.28,0.396,2.8,1.2,0.9,0.3,0,0.7,82.8,119.3
Tristan Vukcevic,WAS,F,30,11.4,0.764,0.617,0.2,0.557,6.9,2.4,1,0.3,0.7,1,107.3,113.6
Anthony Gill,WAS,F,25,5.9,1,0.636,0.429,0.673,1.7,1.4,0.1,0.2,0.2,0.4,116.9,114.7
Sharife Cooper,WAS,G,8,8,0.5,0.5,0.333,0.503,2.4,1.6,0.9,0.1,0.1,0.8,93.1,113.9
Gary Trent Jr.,MIL,G,44,24.1,0.795,0.419,0.363,0.531,8.4,1.2,1.5,0.6,0.1,0.6,106.5,118.8
Giannis Antetokounmpo,MIL,F,30,29.2,0.658,0.666,0.395,0.679,28,10,5.6,0.9,0.7,3.3,128.3,108.2
Myles Turner,MIL,C-F,46,28.6,0.777,0.495,0.391,0.586,12.9,5.5,1.6,0.7,1.6,1.1,116.1,111.1
A.J. Green,MIL,G,44,29.7,0.774,0.514,0.432,0.644,10.2,2.6,2,0.6,0.1,0.8,120.7,115.2
Kevin Porter Jr.,MIL,G-F,23,33.6,0.845,0.49,0.358,0.563,16.8,5,7.4,2.1,0.4,3.3,111.5,113.2
Kyle Kuzma,MIL,F,46,26.8,0.725,0.558,0.328,0.572,13.2,4.9,2.5,0.7,0.5,1.5,112,113
